"Year","cpue"
81,82.4710561724337
82,65.0338874899879
83,72.6049691571403
84,75.2527959500399
85,67.6102394815081
86,65.7564554869613
87,81.2621481496284
88,78.5843507991585
89,83.3533414513808
90,78.208069388665
91,75.7566921393018
92,81.6875079017199
93,71.6019575776369
94,75.3794575766093
95,68.0907482834015
96,70.0278260059807
97,79.45979148164
98,59.9509150137714
99,59.2464998842351
100,69.2533691679196
101,61.1976133653991
102,57.2155665479036
103,48.7209999446123
104,64.6563375099864
105,71.1963585665815
106,68.672286171506
107,45.3551226681938
108,65.1710167974145
109,70.0937313970766
110,73.946279511661
111,70.6145070582586
112,72.5165951948843
113,84.3040324273985
114,65.7582041698221
115,48.7546423111399
116,73.1828979897068
117,84.4538742573895
118,58.3008743812436
119,68.9197163293243
120,76.1958889734608
121,69.3857360599708
122,55.6934197867929
123,65.7461047926944
124,66.1549506197824
125,67.1341703257492
126,55.4405032630515
127,51.7001013703723
128,64.9496281101169
129,71.1872429637115
130,59.5426995859369
131,52.6504772892946
132,71.7810285563916
133,76.8972880041333
134,61.1893486940439
135,55.8058668734308
136,61.926457198325
137,65.5824156920807
138,62.2247687516412
139,51.2447453935035
140,63.979980470488
141,77.1362991468074
142,74.5890208492772
143,62.9461757545421
144,77.2730671573637
145,91.0432141257441
146,73.1733847215142
147,76.8332583566803
148,75.9477379056346
149,84.7127363241526
150,58.7086331529149
151,50.8883292456236
152,56.2027345116958
153,62.5476687745951
154,66.6349113631431
155,57.3659106527902
156,58.6154336705548
157,62.0099066851949
158,73.6434398421153
159,58.9374348339407
160,46.7000949240376
161,61.1844547924406
162,67.1483520041291
163,72.1551695390918
164,58.4347677068812
165,74.2260036624353
166,81.8032730818298
167,55.0918915787635
168,68.9762007534245
169,79.980617204765
170,85.1438787536186
171,80.5071495805804
172,66.0164062271725
173,72.3070918502842
174,72.8892997797552
175,55.0476377466267
176,58.8670151766034
177,65.0402264947184
178,70.3312238085513
179,73.8029029519578
180,59.445273214022
181,71.1877402437521
182,67.3727306790917
183,58.7917150584765
184,55.9688315690712
185,61.8738707462406
186,61.8845540063417
187,60.0855805538883
188,48.4228528923311
189,55.6556476837208
190,50.4575140794174
191,44.8177478217629
192,46.0586149021112
193,46.942313288745
194,47.2673616126667
195,49.1741527451988
196,56.9600916582252
197,57.2218835186024
198,61.5352421150629
199,72.5063639908271
200,72.031997593552
201,74.483309103032
202,78.0588762686967
203,75.2205695015461
204,58.0223909929142
205,78.5158830143796
206,75.5427011598413
207,69.7783711514994
208,67.655264586637
209,68.7988482159693
210,72.3373668235617
211,65.1348605079772
212,70.5729408656603
213,71.5131294411054
214,79.3415277211816
215,75.9943944479802
216,83.0342808474684
217,65.7303616005871
218,82.7481618755675
219,75.2514222498203
220,62.5087342055898
221,71.3841228473362
222,67.2927735578907
223,62.1248244305693
224,71.9651581134084
225,66.9276428918097
226,60.2438337095375
227,61.3713895056209
228,71.2039350680331
229,74.810205223333
230,65.3603739720099
231,62.8217546225821
232,82.3236522270094
233,70.2281310096901
234,71.3187541724913
235,68.0987072621756
236,76.2579542057472
237,46.3449911985384
238,46.7192799214906
239,52.861496368267
240,66.5786142795527
241,52.2722492211587
242,45.2581476892259
243,54.5601911814007
244,76.7189634151624
245,69.3271868914752
246,80.4592643980283
247,59.2334949837078
248,96.287351217393
249,75.2465573576119
250,92.6224930797177
251,100.079023636014
252,117.883278303704
253,86.2723283857087
254,105.41273325436
255,71.5702105458034
256,100.7852732094
