"Key","Value","Improvement"
"Lat","-2.5",31.3878303157426
"Lat","2.5",15.0427841350493
"Lon","57.5",4.72106426994378
"Lon","42.5",4.30845860293812
"Lat","7.5",4.25821753056152
"Lat","-7.5",3.28502591136839
"Lon","47.5",2.86355760331753
"Lon","52.5",2.66623265839462
"Lon","37.5",2.59401001701463
"Qrt","2",2.22312625475115
"Lon","62.5",2.08172073828518
"Qrt","1",2.06915373423908
"Lon","77.5",1.75644724927952
"Lon","82.5",1.72968342176046
"Lon","67.5",1.60105121370907
"Lon","72.5",1.56041598033971
"Lat","-12.5",1.41723164386076
"CQrt","14;23",1.38323593537461
"Lat","17.5",1.28874971875848
"CQrt","134;2",1.08587004572746
"Lon","87.5",1.01486774237401
"Lat","12.5",0.886405588752496
"Lat","-17.5",0.873301553301644
"Qrt","3",0.673257780504173
"CQrt","124;3",0.548106978368196
"Lat","-22.5",0.400633657894105
"Lon","92.5",0.331032310868977
