"Cell","Key","Value","Var_explained","Rank"
1,"Lat","-7.5",0.14414867649528,1
1,"Lon","42.5",0.138550810432236,2
1,"Lon","37.5",0.124222010153103,3
1,"Lon","47.5",0.123365874628329,4
1,"Lat","-12.5",0.120653753341902,5
2,"Lon","47.5",0.116975050850088,6
1,"Lat","-17.5",0.112799738784694,7
2,"Lon","52.5",0.110604107869908,8
2,"Lon","67.5",0.110355060831816,9
1,"CQrt","134;2",0.109736026495161,10
1,"Lon","72.5",0.109610345066229,11
1,"Lon","57.5",0.109551304673247,12
1,"Qrt","2",0.109468631091219,13
2,"Lon","42.5",0.109417400953854,14
1,"Lon","62.5",0.109128717665045,15
3,"Lat","12.5",0.108555486201453,16
2,"Lon","72.5",0.108158833837913,17
1,"Lon","82.5",0.108066245385971,18
1,"Lon","52.5",0.107954696114901,19
1,"CQrt","124;3",0.107240070623598,20
1,"Lon","87.5",0.106843654339963,21
1,"Lon","77.5",0.106819117708229,22
3,"Lon","47.5",0.106802590633962,23
2,"Lon","77.5",0.10654440767023,24
1,"Lat","-22.5",0.106259704604813,25
1,"Lon","92.5",0.106008781100149,26
1,"CQrt","14;23",0.105993215561931,27
1,"Qrt","3",0.10596423462997,28
2,"Lon","82.5",0.105901786278348,29
3,"Lat","7.5",0.105436655683815,30
2,"Lon","57.5",0.105422611331812,31
1,"Lon","67.5",0.105420925725548,32
2,"CQrt","124;3",0.105312338060792,33
2,"Lon","62.5",0.105269114442266,34
2,"CQrt","14;23",0.105189338707928,35
3,"Lat","17.5",0.105177111189874,36
2,"Lon","87.5",0.105172871567517,37
1,"Qrt","1",0.10490834049466,38
3,"Lon","52.5",0.104862537918256,39
2,"Qrt","1",0.104854045723231,40
2,"Qrt","2",0.104740148773971,41
3,"Qrt","2",0.104515839203591,42
3,"Lon","57.5",0.104405688922146,43
3,"CQrt","134;2",0.104371820622033,44
3,"Qrt","1",0.104343638923067,45
2,"Qrt","3",0.104334558498424,46
3,"CQrt","14;23",0.104265587940292,47
3,"Lon","62.5",0.104246933748148,48
3,"CQrt","124;3",0.104196698116294,49
2,"CQrt","134;2",0.104186132435786,50
3,"Qrt","3",0.104174386679357,51
3,"Lon","87.5",0.104104682367044,52
3,"Lon","67.5",0.104070389352946,53
2,"Lon","92.5",0.104044422134001,54
2,"Lat","2.5",0.103927470380727,55
