"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0242346930741267,1
"Lon","67.5",0.0223240356279176,2
"Lat","2.5",0.0115130184629443,3
"Lon","72.5",0.00451783076270254,4
"Lon","57.5",0.00373316285894859,5
"Lon","77.5",0.00293306974973172,6
"Lat","12.5",0.0023674598717385,7
"Lat","7.5",0.0022371930104934,8
"Lon","62.5",0.00217549549900294,9
"Lat","-7.5",0.00197516614988408,10
"Lon","82.5",0.00161524231054706,11
"Lon","52.5",0.00142036219979462,12
"Lon","92.5",0.00128719273016118,13
"Lon","37.5",0.00119408064466468,14
"Lat","-17.5",0.00114407349770047,15
"Lon","42.5",0.00113697869643888,16
"Lon","47.5",0.00101274531482964,17
"Lon","87.5",0.000646549934416739,18
"Lat","-12.5",0.000509630668563692,19
"Lat","-22.5",0.000275959734791424,20
"Lat","17.5",0.000204781675115994,21
