"Improve","Key","Value"
31.3457284730011,"Lat","-2.5"
15.0187191260648,"Lat","2.5"
4.70512197608696,"Lon","57.5"
4.29445870922518,"Lon","42.5"
4.25093216727055,"Lat","7.5"
3.2829976420453,"Lat","-7.5"
2.85534690075383,"Lon","47.5"
2.67295048339565,"Lon","52.5"
2.59037090690799,"Lon","37.5"
2.21255515492885,"Qrt","2"
2.09832529967935,"Qrt","1"
2.0785875293177,"Lon","62.5"
1.75505614580015,"Lon","77.5"
1.73052413002915,"Lon","82.5"
1.61862550120259,"Lon","67.5"
1.55630292925707,"Lon","72.5"
1.41383521065927,"Lat","-12.5"
1.3759435215261,"CQrt","14;23"
1.28773251888924,"Lat","17.5"
1.11595053793826,"CQrt","134;2"
1.0170659349551,"Lon","87.5"
0.887249668124241,"Lat","12.5"
0.870898572366968,"Lat","-17.5"
0.674455053407655,"Qrt","3"
0.571114505606602,"CQrt","124;3"
0.400323498904072,"Lat","-22.5"
0.330806328045583,"Lon","92.5"
