"Cell","Key","Value","Var_explained","Rank"
2,"Lon","67.5",0.0551469632547784,1
1,"Lat","-7.5",0.0402919163579011,2
2,"Lon","72.5",0.0371528657479039,3
1,"Lon","42.5",0.0305467177723653,4
2,"Lat","12.5",0.0292040017529036,5
2,"Lon","77.5",0.0287573695725482,6
2,"Lon","62.5",0.0285172856516472,7
1,"Lat","-17.5",0.0279398652350965,8
2,"Lat","7.5",0.0274002591902205,9
1,"Lon","47.5",0.0272941967466838,10
1,"Lon","37.5",0.0268661857398748,11
2,"Lon","82.5",0.026783905920894,12
1,"Lon","57.5",0.0259976545741493,13
2,"Lon","47.5",0.0259480977595256,14
2,"Lat","2.5",0.025871817772588,15
1,"Lon","72.5",0.0255711584204807,16
2,"Lon","87.5",0.0255468803197212,17
1,"Lat","-12.5",0.0255360563690417,18
1,"Lon","67.5",0.0254404784030665,19
1,"Lon","62.5",0.024974057557862,20
2,"Lon","52.5",0.0245970186107434,21
1,"Lon","82.5",0.0245823068261273,22
1,"Lon","77.5",0.0244405253084445,23
1,"Lon","87.5",0.0243829099171312,24
1,"Lat","-22.5",0.0243494238327977,25
2,"Lon","57.5",0.0243492938049073,26
2,"Lon","92.5",0.0243170230599486,27
1,"Lon","52.5",0.024023898570857,28
2,"Lat","17.5",0.0238268738686234,29
1,"Lon","92.5",0.0237315645227746,30
