"Key","Value","Improvement"
"Lat","-2.5",16.6445879930843
"Lon","67.5",13.9257051514651
"Lat","2.5",7.9876525199652
"Lon","57.5",3.53578816141726
"Lat","12.5",3.10300768036723
"Lon","72.5",2.86805722682129
"Lat","-17.5",2.14763842462435
"Lon","77.5",1.97459455072567
"Lon","37.5",1.96505719454399
"Lat","-7.5",1.5506516496871
"Lon","52.5",1.34012798927324
"Lon","62.5",1.17397939045622
"Lon","42.5",1.05863442841928
"Lon","82.5",1.04858896934638
"Lat","7.5",0.931924004265966
"Lon","47.5",0.853159563098416
"Lat","-22.5",0.624960979599564
"Lat","-12.5",0.583680742853176
"Lon","87.5",0.496318447386329
"Lat","17.5",0.494805836452542
"Lon","92.5",0.454196432285244
