"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0231495724334081,1
"Lon","67.5",0.0197966178318291,2
"Lat","2.5",0.010551107297176,3
"Lon","57.5",0.00502230614970259,4
"Lat","12.5",0.00374839609556965,5
"Lon","72.5",0.00341902668676357,6
"Lon","77.5",0.00245170856661556,7
"Lat","-17.5",0.00216676707576049,8
"Lon","62.5",0.00213731714661225,9
"Lat","-7.5",0.00205922365965326,10
"Lat","7.5",0.00186795656696793,11
"Lon","52.5",0.00186467651349333,12
"Lon","37.5",0.00177351556570248,13
"Lon","82.5",0.00143418586990057,14
"Lon","87.5",0.00119609644075872,15
"Lon","92.5",0.00119161870207842,16
"Lon","42.5",0.000993977655806342,17
"Lat","-22.5",0.000784125786131807,18
"Lat","-12.5",0.000574408945375986,19
"Lat","17.5",0.000505147093112056,20
"Lon","47.5",0.000307209378030304,21
