"Cell","Key","Value","Var_explained","Rank"
2,"Lat","-2.5",0.0743007682653705,1
2,"Lat","-22.5",0.063692445176667,2
2,"Lat","-12.5",0.047939805821232,3
2,"Lon","72.5",0.0361157284695179,4
2,"Lat","7.5",0.0340674066098338,5
2,"Lat","-32.5",0.0321258130383107,6
2,"Lon","52.5",0.0310884237691194,7
1,"CQrt","124;3",0.0282758815870748,8
1,"Qrt","2",0.0281092282995064,9
1,"Qrt","1",0.0280745569493029,10
1,"CQrt","134;2",0.0275788283791102,11
1,"CQrt","14;23",0.0269929854450456,12
1,"Qrt","3",0.0241910245486042,13
2,"CQrt","124;3",0.0241431277022938,14
2,"Qrt","2",0.0232081354822146,15
2,"CQrt","14;23",0.0231259544124598,16
2,"CQrt","134;2",0.0230601079490356,17
2,"Qrt","3",0.0226435158949627,18
2,"Qrt","1",0.0224806824766234,19
1,"Lat","-32.5",0.0211375568699765,20
1,"Lon","32.5",0.0211375568699765,21
