"X1","Data.Year","X1.1","X17","X0","X0.1","Data.n","X0.2","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100","X105","X110","X115","X120","X125","X130","X135","X140","X145","X150","X155","X160","X165","X170","X175","X180","X185","X190","X195"
1,9,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0.125,0.0416666666666667,0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.166666666666667,0.125,0.0416666666666667,0.0833333333333333,0.0416666666666667,0,0,0.0833333333333333,0,0,0,0,0,0,0
1,10,1,17,0,0,20,0,0,0,0,0,0,0,0,0,0.04,0.04,0.12,0.12,0.08,0.201666666666667,0.161666666666667,0.205,0.08,0.12,0.283333333333333,0.08,0.243333333333333,0.08,0.0816666666666667,0.246666666666667,0.163333333333333,0.0833333333333333,0.205,0.245,0.12,0,0,0,0,0,0,0,0,0
1,11,1,17,0,0,15,0,0,0,0,0,0,0,0.04,0,0.123478260869565,0.04,0.08,0.04,0.12,0.16,0.0434782608695652,0.163478260869565,0.163478260869565,0.203478260869565,0.24,0.12,0.20695652173913,0.163478260869565,0.210434782608696,0.0434782608695652,0.283478260869565,0.257391304347826,0.0869565217391304,0.04,0.170434782608696,0,0,0,0,0,0,0,0,0
1,12,1,17,0,0,15,0,0,0,0,0,0,0,0.130434782608696,0.0869565217391304,0.0434782608695652,0,0,0.0834782608695652,0,0.04,0.0834782608695652,0.130434782608696,0.213913043478261,0.0869565217391304,0.257391304347826,0.293913043478261,0.330434782608696,0.0834782608695652,0.0834782608695652,0.20695652173913,0.16695652173913,0.213913043478261,0.253913043478261,0.123478260869565,0,0,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0
1,13,1,17,0,0,35,0,0,0,0,0,0,0,0,0.125454545454545,0.405454545454545,0.205454545454545,0.165454545454545,0.285454545454545,0.125454545454545,0.28,0.165454545454545,0.410909090909091,0.456363636363636,0.245454545454545,0.32,0.421818181818182,0.245454545454545,0.405454545454545,0.405454545454545,0.2,0.165454545454545,0.205454545454545,0.44,0.12,0.08,0.04,0.04,0,0,0.04,0,0,0,0
1,14,1,17,0,0,15,0,0,0,0,0,0,0,0.08,0.04,0,0.04,0.36,0.12,0.08,0.16,0.08,0.04,0.04,0.08,0.16,0.16,0.2,0.32,0.2,0.24,0.08,0.12,0.08,0.12,0.12,0.04,0.04,0,0,0,0,0,0,0
1,15,1,17,0,0,10,0,0,0,0,0,0,0,0,0.08,0.04,0.12,0.08,0.08,0.04,0.12,0,0.04,0.04,0,0.08,0,0.08,0.04,0.04,0.04,0.04,0,0,0,0.04,0,0,0,0,0,0,0,0,0
1,16,1,17,0,0,20,0,0,0,0,0,0,0,0,0.0816666666666667,0.04,0.08,0.121666666666667,0.0816666666666667,0.0416666666666667,0.12,0.121666666666667,0.325,0.325,0.405,0.4,0.121666666666667,0.323333333333333,0.205,0.28,0.281666666666667,0.12,0.0816666666666667,0.283333333333333,0.08,0.04,0.04,0,0,0,0,0,0,0,0
1,17,1,17,0,0,30,0,0,0,0,0,0,0,0.0816666666666667,0.0416666666666667,0.0816666666666667,0.04,0.16,0.08,0.121666666666667,0.2,0.361666666666667,0.243333333333333,0.201666666666667,0.16,0.28,0.365,0.241666666666667,0.403333333333333,0.401666666666667,0.283333333333333,0.321666666666667,0.161666666666667,0.203333333333333,0.201666666666667,0.161666666666667,0.121666666666667,0.04,0.04,0,0,0,0,0,0
1,18,1,17,0,0,30,0,0,0,0,0,0,0.04,0.0816666666666667,0.12,0.04,0.04,0.0434782608695652,0.08,0.0434782608695652,0.16,0.163478260869565,0.24695652173913,0.448478260869565,0.163333333333333,0.161666666666667,0.125144927536232,0.366811594202899,0.36695652173913,0.293623188405797,0.205144927536232,0.580724637681159,0.16695652173913,0.363333333333333,0.166811594202899,0.12,0.163478260869565,0.166811594202899,0.04,0,0,0.0416666666666667,0,0,0
1,19,1,17,0,0,15,0,0,0,0,0,0,0,0.04,0.161666666666667,0.08,0.12,0.123333333333333,0,0,0.0816666666666667,0.0416666666666667,0.123333333333333,0.0816666666666667,0.123333333333333,0.123333333333333,0.121666666666667,0.0816666666666667,0.163333333333333,0.123333333333333,0.125,0.04,0.0416666666666667,0.04,0.08,0.0416666666666667,0.0416666666666667,0,0,0,0,0,0,0,0
