"X1","Data.Year","X1.1","X17","X0","X0.1","Data.n","X0.2","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100","X105","X110","X115","X120","X125","X130","X135","X140","X145","X150","X155","X160","X165","X170","X175","X180","X185","X190","X195"
1,9,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0
1,10,1,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0.4,0.4,0,0.4,0,0.4,0.4,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0
1,11,1,17,0,0,15,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0.2,0.2,0,0.4,0.2,0.2,0.4,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0
1,12,1,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0,0,0.2,0,0.2,0.2,0.2,0.4,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0
1,13,1,17,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0.4,0.4,0.2,0.4,0.4,0.8,0.8,0.2,0.4,0.8,0.4,0,0,0,0.2,0,0,0,0,0,0
1,14,1,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0.2,0.4,0,0.4,0,0.4,0.2,0,0.2,0,0,0,0,0,0,0,0
1,15,1,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,1,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0.2,0.2,0.4,0.2,0.8,0.2,0.8,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0
1,17,1,17,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.4,0.4,1,0.2,0.4,0,0.2,0.2,0.2,0,0,0,0,0,0,0
1,18,1,17,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0.2,0.6,0,0,0.4,0.8,0,0.6,0.6,0,0.6,0.4,0,0,0,0,0,0,0,0
1,19,1,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
1,20,1,17,0,0,25,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.6,0.4,0,0.6,0.2,0.2,0,0,0,0,0,0,0,0
1,21,1,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,1,0.4,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0
1,22,1,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.6,0.2,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0
1,23,1,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0.4,0,0,0,0,0.8,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,1,17,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.2,0,0,0.2,0.8,1,0.8,0.4,0.2,0.4,0,0.4,0,0.2,0,0,0,0,0,0,0,0
1,25,1,17,0,0,25,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0.2,0.4,0.2,0,0,0.2,0.2,0.2,0.6,0.6,0,0.2,0,0.2,0,0.4,0,0,0,0,0,0,0,0
1,26,1,17,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.6,0,0.4,0,0,0,0.2,0.6,0.2,0.4,0.8,0.2,0.2,0,0,0,0,0,0,0,0,0,0
1,27,1,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.933333333333333,0,0,0,0,0.333333333333333,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0
1,28,1,17,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0.6,0,0.4,1,0.2,0.4,0.6,0.65,0.2,0.45,0,0.25,0,0.65,0,0,0,0,0,0,0
