"Data.Year","X1","X17","X0","X0.1","Data.n","X0.2","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100","X105","X110","X115","X120","X125","X130","X135","X140","X145","X150","X155","X160","X165","X170","X175","X180","X185","X190","X195"
35,1,17,0,0,6,0,0,0,0,0,0,0,0,0.2,0,1.2,0.2,0.4,0,0,0,0,0,0,0.2,0.6,0,0.8,0.2,0.2,0.4,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0
36,1,17,0,0,7,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,1,0.6,0.2,0.2,0.2,0.2,0,0.2,0.6,0.6,0.4,0.4,0.4,0,0.4,0.8,0,0,0.4,0,0,0,0,0,0,0
37,1,17,0,0,8,0,0,0,0,0,0,0,0,0.25,0.25,0.2,0.45,0,0.25,0.4,0.4,0,0,0.45,0.45,0.65,0.4,0.4,0,0,0.6,0.65,0,0,0,0.2,0,0,0,0,0,0,0,0
38,1,17,0,0,5,0,0,0,0,0,0,0,0,0.4,0,0.4,0.4,0,0,0,1.2,0.4,0,0.8,0.8,0,0.8,0.8,0,0.4,0.4,0,0.4,0.4,0,0,0.4,0,0,0,0,0,0,0
40,1,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0.4,0.6,0.2,1.05,1.25,0.6,0.65,0.4,0.4,0,0.2,0.25,0,0,0,0,0,0,0,0
41,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0.733333333333333,0,0.2,0,0,0.2,0.2,0.2,0,0,0.533333333333333,0.6,0.733333333333333,0.4,0,0,0.2,0,0.6,0,0.2,0.2,0,0,0,0,0,0,0
42,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0.2,0,0.2,0,0.2,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
43,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0.2,0,0.2,0.2,0.2,0,0,0.4,0.2,0.4,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0
44,1,17,0,0,9,0,0,0,0,0,0,0,0.2,0,0.6,0,0.2,0.2,0.2,0.4,0,0.45,0.4,0.8,0,0.6,0.6,0.4,0.4,0.8,0.65,0.4,0.85,0,0.25,0.2,0.2,0,0.2,0,0,0,0,0
45,1,17,0,0,5,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0,0.4,0.4,0,0,0,1.2,0.4,1.2,0.8,1.8,0.4,0.4,0.9,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0
47,1,17,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
48,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0.4,0,0.2,0,0.4,0,0.2,0,0.6,0,0.4,0.6,0.6,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0
49,1,17,0,0,8,0,0,0,0,0,0,0,0,0,0.6,0,0.6,0.4,0.2,0.6,0,0.2,0.2,0.2,0,0.4,0.2,0.4,0.6,0.4,1.2,0.2,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0
50,1,17,0,0,7,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0.6,0.2,0.4,0.2,0.6,0.2,0.2,0.4,0.45,0.2,0,0.2,0.85,0.4,0.4,0.2,0,0.45,0,0,0.25,0,0,0,0,0
51,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.6,0,0.9,0.4,0,0.4,0.2,0.45,0.4,0.2,0.2,0.25,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0
52,1,17,0,0,8,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.2,0.2,0.6,0.4,0.2,0.6,0.2,0,0,0.8,0.6,0.6,0,0.2,0.6,0.6,0,0.4,0,0,0,0,0,0,0,0,0
53,1,17,0,0,9,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0.2,0.2,0.25,0.4,0.65,0.2,1,0.4,0,0.8,0.8,0.4,1.25,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0
54,1,17,0,0,10,0,0,0,0,0,0,0,0,0,0,0.6,0,0.4,0.2,0,0.2,0.2,0.2,0.4,0.6,0.6,0.4,1,0.4,0.4,0.8,0.4,0.8,0.4,0.6,0,0.4,0,0,0,0,0,0,0
55,1,17,0,0,5,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0.2,0.2,0.2,0,0,0.2,0.4,1,1,0,0.4,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0
56,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0,0.2,0.4,0,0.2,0,0,0.6,0.2,0.666666666666667,0.533333333333333,0.6,0.4,0.2,0.2,0.2,0,0.6,0,0,0,0,0,0,0,0,0
