"Cell","Key","Value","Var_explained","Rank"
2,"Lon","72.5",0.0160320542222154,1
2,"Lat","-22.5",0.0141531037229186,2
2,"Lat","-2.5",0.0131721074352664,3
2,"Lon","52.5",0.0129453689964982,4
1,"Qrt","2",0.0122559205716761,5
1,"Lon","32.5",0.0118487023784737,6
1,"CQrt","134;2",0.0117130853987712,7
1,"CQrt","124;3",0.010628980450632,8
2,"Lat","-12.5",0.0103744533171376,9
1,"Qrt","3",0.0103411227451783,10
2,"CQrt","134;2",0.0101793473480264,11
2,"CQrt","14;23",0.0101596192005833,12
2,"Qrt","1",0.00991684764706336,13
2,"Qrt","3",0.00976263244352,14
2,"Lat","7.5",0.00967185047397509,15
1,"Qrt","1",0.00961898120434786,16
2,"Qrt","2",0.00935702492527742,17
1,"CQrt","14;23",0.00928662821781949,18
2,"CQrt","124;3",0.00915517830364915,19
1,"Lat","-32.5",0.00779838608177395,20
