"Cell","Key","Value","Var_explained","Rank"
2,"Lon","67.5",0.0566760267319192,1
1,"Lat","-7.5",0.0415672728522939,2
2,"Lon","72.5",0.0391948572249793,3
1,"Lon","42.5",0.0316557916610051,4
2,"Lon","77.5",0.0303376398092893,5
2,"Lon","62.5",0.0294695982872063,6
1,"Lon","47.5",0.0289808393565442,7
2,"Lat","12.5",0.0282891113490649,8
2,"Lon","82.5",0.0281960800446757,9
2,"Lat","7.5",0.0280454362724481,10
1,"Lon","67.5",0.0277345888995032,11
2,"Lat","2.5",0.0273955651711742,12
1,"Lat","-17.5",0.0272719319067471,13
1,"Lon","37.5",0.0271040957734812,14
2,"Lon","47.5",0.0268827037623993,15
2,"Lon","52.5",0.026373552803253,16
2,"Lon","87.5",0.0262869802280807,17
1,"Lon","57.5",0.0262231849816079,18
1,"Lon","62.5",0.026071140341445,19
1,"Lat","-12.5",0.0257740903197949,20
1,"Lon","72.5",0.0252855964301617,21
2,"Lon","92.5",0.0251062931514636,22
1,"Lon","52.5",0.0250117708263302,23
1,"Lon","92.5",0.0249511673750166,24
2,"Lon","57.5",0.0248114509568118,25
1,"Lon","82.5",0.0247299239296325,26
1,"Lat","-22.5",0.0246982733143965,27
1,"Lon","77.5",0.0246215598653337,28
2,"Lat","17.5",0.0245951594197405,29
1,"Lon","87.5",0.0245803302527393,30
