"Key","Value","Var_explained","Rank"
"Lat","2.5",0.042846017567774,1
"Lon","42.5",0.0211375568699765,2
"Lat","-7.5",0.0169417852523132,3
"Lat","-27.5",0.0152614930557498,4
"Lat","-17.5",0.0147648729009273,5
"Lon","82.5",0.0123638200898234,6
"Lat","12.5",0.0116627875007756,7
"Lon","62.5",0.00696258138356421,8
"CQrt","14;23",0.00281569854381249,9
"CQrt","124;3",0.00355058798209167,10
"CQrt","134;2",0.00317951079493893,11
"Qrt","2",0.00224977897535413,12
"Qrt","3",0.0018534873386627,13
"Qrt","1",0.00138815511368048,14
