"Cell","Key","Value","Improvement"
1,"CQrt","124;3",2.00257602929439
1,"CQrt","134;2",1.76470621302174
1,"Qrt","1",1.73572473558303
1,"Qrt","2",1.06868853789904
1,"CQrt","14;23",0.825850268033264
1,"Qrt","3",0.812873166309458
1,"Lat","-32.5",0
1,"Lon","32.5",0
2,"Lon","72.5",4.92678343392231
2,"Lat","-22.5",4.62858038561785
2,"Lat","-2.5",3.72071620327688
2,"Lat","-32.5",2.97790757878556
2,"Lat","7.5",1.53917776745971
2,"Lon","52.5",1.30315725339779
2,"CQrt","134;2",1.25318147556277
2,"Lat","-12.5",1.18498512596875
2,"CQrt","14;23",1.16992421417149
2,"CQrt","124;3",0.868790946734407
2,"Qrt","3",0.787472870654483
2,"Qrt","1",0.368640877152075
2,"Qrt","2",0.326577968927495
