"Key","Value","Improvement"
"Lat","2.5",10.9044729145926
"Lon","42.5",5.37958786962463
"Lat","-7.5",4.31174818328145
"Lat","-27.5",3.88410748792285
"Lat","-17.5",3.75771578725744
"Lon","82.5",3.14663879967657
"Lat","12.5",2.96822336427567
"Lon","62.5",1.77200319709164
"CQrt","14;23",0.903638020040944
"CQrt","124;3",0.809197477693488
"CQrt","134;2",0.71660588893883
"Qrt","2",0.57257722638451
"Qrt","3",0.471719511620904
"Qrt","1",0.353290706993448
