"Improve","Key","Value"
31.3182732799278,"Lat","-2.5"
14.9956494491844,"Lat","2.5"
4.70032879306018,"Lon","57.5"
4.29364671783514,"Lon","42.5"
4.25028141048006,"Lat","7.5"
3.2755604048134,"Lat","-7.5"
2.85441283357704,"Lon","47.5"
2.66311297015545,"Lon","52.5"
2.58930927427718,"Lon","37.5"
2.20907950237233,"Qrt","2"
2.08259877670298,"Qrt","1"
2.07814125834284,"Lon","62.5"
1.74797488635068,"Lon","77.5"
1.72456111856627,"Lon","82.5"
1.61714235609998,"Lon","67.5"
1.55367275739627,"Lon","72.5"
1.41372697134011,"Lat","-12.5"
1.37487738108211,"CQrt","14;23"
1.28476805125774,"Lat","17.5"
1.10962502506482,"CQrt","134;2"
1.0115603924587,"Lon","87.5"
0.886321250500259,"Lat","12.5"
0.869429787374429,"Lat","-17.5"
0.673119948233762,"Qrt","3"
0.566130210887422,"CQrt","124;3"
0.398625500931303,"Lat","-22.5"
0.325292238928341,"Lon","92.5"
