"Key","Value","Improvement"
"Lat","-2.5",21.3973826606634
"Lon","67.5",14.7443538380594
"Lat","2.5",9.20755724926585
"Lon","72.5",4.80261450221496
"Lon","57.5",4.41384938994725
"Lon","77.5",4.21805025808317
"Lat","12.5",3.03162062123465
"Lat","-7.5",2.73653556955196
"Lat","7.5",2.67969104404256
"Lon","82.5",2.16615320215169
"Lon","42.5",1.9212332614552
"Lat","-17.5",1.9127815714528
"Lon","37.5",1.90680379946389
"Lon","52.5",1.64621033519597
"Lat","-22.5",1.47551111559369
"Lon","87.5",1.29664424339444
"Lon","47.5",1.20947676567812
"Lat","17.5",1.09308517552108
"Lat","-12.5",1.08602492437694
"Lon","92.5",1.08019087325647
"Lon","62.5",0.736894862621739
