"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0951690443860782,1
"Lat","2.5",0.0445047242318263,2
"Lon","57.5",0.0131090771822498,3
"Lat","7.5",0.0128185564678492,4
"Lon","42.5",0.0126504775952477,5
"Lon","37.5",0.00779153775362374,6
"Lat","-7.5",0.00744788474836222,7
"Lon","47.5",0.00730002025008104,8
"Lon","52.5",0.00598524613139104,9
"Lon","77.5",0.00577194647298636,10
"Lon","62.5",0.00543852185959997,11
"Lon","72.5",0.0049290780981328,12
"Lon","82.5",0.00476103205857324,13
"Lon","67.5",0.00450487074841822,14
"Lat","-12.5",0.00400781693226358,15
"Lat","17.5",0.00398406638674734,16
"Lat","-17.5",0.00283553979193976,17
"Lat","12.5",0.00259299525091328,18
"Lon","87.5",0.0025452514348382,19
"Lat","-22.5",0.00111870089733661,20
"Lon","92.5",0.000716765570509,21
