"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0087962952339501,1
"Lon","67.5",0.00606128756260546,2
"Lat","2.5",0.0037851541579863,3
"Lon","72.5",0.00197431693989373,4
"Lon","57.5",0.001814498668734,5
"Lon","77.5",0.00173400719004517,6
"Lat","12.5",0.00124627532463262,7
"Lat","-7.5",0.00112496818745204,8
"Lat","7.5",0.00110159985139224,9
"Lon","82.5",0.000890488495264471,10
"Lon","42.5",0.000789803839518961,11
"Lat","-17.5",0.000786329416423484,12
"Lon","37.5",0.000783872001510568,13
"Lon","52.5",0.000676744083853967,14
"Lat","-22.5",0.000606570981114121,15
"Lon","87.5",0.000533040220815374,16
"Lon","47.5",0.000497206358283155,17
"Lat","17.5",0.000449358693641051,18
"Lat","-12.5",0.000446456280085591,19
"Lon","92.5",0.00044405794768805,20
"Lon","62.5",0.000302931665559175,21
