"Cell","Key","Value","Var_explained","Rank"
2,"Lon","72.5",0.0298005422225352,1
3,"Lon","52.5",0.0237357466185435,2
2,"Lat","-22.5",0.0201125035455089,3
1,"CQrt","134;2",0.018057502961191,4
1,"Qrt","2",0.0176657206623918,5
2,"Lat","-32.5",0.0172224237319662,6
1,"CQrt","124;3",0.0170267260054994,7
3,"Qrt","2",0.016955712661115,8
3,"CQrt","134;2",0.0167724479314559,9
3,"Qrt","1",0.0166260184051649,10
2,"Lon","52.5",0.0165762241248853,11
3,"Lon","72.5",0.0164047854308345,12
2,"Qrt","3",0.016142010146008,13
2,"CQrt","14;23",0.0160890223987214,14
2,"Qrt","2",0.0160443472844438,15
3,"Lat","7.5",0.0159727068377402,16
2,"Qrt","1",0.0158762672776855,17
3,"CQrt","124;3",0.015862338703152,18
2,"Lat","-12.5",0.0158518087919829,19
2,"CQrt","124;3",0.0158104444492162,20
1,"Qrt","1",0.0158097521225724,21
3,"Qrt","3",0.0155819232260868,22
1,"Qrt","3",0.0154088483643754,23
2,"CQrt","134;2",0.0153298838684462,24
3,"CQrt","14;23",0.0152566868193898,25
1,"CQrt","14;23",0.0148408071915506,26
1,"Lat","-32.5",0.0137344700079283,27
1,"Lon","32.5",0.0137344700079283,28
