"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0969064388793329,1
"Lat","2.5",0.0464429247480364,2
"Lon","57.5",0.0145757614183147,3
"Lon","42.5",0.0133018872623482,4
"Lat","7.5",0.0131467735332249,5
"Lat","-7.5",0.0101421525315581,6
"Lon","47.5",0.00884091595602314,7
"Lon","52.5",0.0082316971115765,8
"Lon","37.5",0.00800871773033233,9
"Qrt","2",0.00686365531990829,10
"Lon","62.5",0.00642708149812541,11
"Qrt","1",0.00638828226933516,12
"Lon","77.5",0.00542283573903492,13
"Lon","82.5",0.00534020539506094,14
"Lon","67.5",0.00494306774387306,15
"Lon","72.5",0.0048176109754658,16
"Lat","-12.5",0.00437554524451017,17
"CQrt","14;23",0.0033525031248967,18
"Lat","17.5",0.00397887157523633,19
"CQrt","134;2",0.00169221940045569,20
"Lon","87.5",0.00313329140172286,21
"Lat","12.5",0.00273667877469294,22
"Lat","-17.5",0.002696221521113,23
"Qrt","3",0.00207860859766616,24
"CQrt","124;3",0.00427058727152471,25
"Lat","-22.5",0.00123691190793389,26
"Lon","92.5",0.00102202548177307,27
