"Key","Value","Improvement"
"Lat","-2.5",20.1522987435928
"Lon","67.5",17.2334654476836
"Lat","2.5",9.18501051974181
"Lon","57.5",4.37204679273236
"Lat","12.5",3.26307529629503
"Lon","72.5",2.97635074695881
"Lon","77.5",2.13427542166573
"Lat","-17.5",1.88622651861715
"Lon","62.5",1.86058959716138
"Lat","-7.5",1.79260720640104
"Lat","7.5",1.62610427842174
"Lon","52.5",1.62324890743366
"Lon","37.5",1.54389095562328
"Lon","82.5",1.2484957200486
"Lon","87.5",1.04123274283756
"Lon","92.5",1.0373347560444
"Lon","42.5",0.865283137383813
"Lat","-22.5",0.682601682608038
"Lat","-12.5",0.500037773981603
"Lat","17.5",0.43974354857437
"Lon","47.5",0.267433672079278
