"Key","Value","Var_explained","Rank"
"Lat","-2.5",0.0209999258871206,1
"Lon","67.5",0.0181140480820255,2
"Lat","2.5",0.00993731071868435,3
"Lon","57.5",0.00445859199090846,4
"Lat","12.5",0.0040098261783504,5
"Lon","72.5",0.0035862081148544,6
"Lat","-17.5",0.00268231774244721,7
"Lon","37.5",0.00247328666570625,8
"Lon","77.5",0.00230242849123199,9
"Lat","-7.5",0.00191348730762895,10
"Lon","52.5",0.00163086611336729,11
"Lon","62.5",0.0012454282006247,12
"Lon","42.5",0.00122543240893909,13
"Lat","7.5",0.00118701827618105,14
"Lon","82.5",0.00106163921961015,15
"Lon","47.5",0.000893242539418561,16
"Lat","-22.5",0.00064332494279176,17
"Lat","17.5",0.000608144302450662,18
"Lat","-12.5",0.000607292606515301,19
"Lon","92.5",0.000540233811083262,20
"Lon","87.5",0.000454379495606348,21
