"year","quarter","Cell","Total_Catch"
1,1,"1",0
1,1,"2",0
1,1,"3",0
1,1,"4",0
1,2,"1",0
1,2,"2",0
1,2,"3",0
1,2,"4",0
1,3,"1",0
1,3,"2",0
1,3,"3",0
1,3,"4",0
1,4,"1",0
1,4,"2",0
1,4,"3",0
1,4,"4",0
2,1,"1",0
2,1,"2",0
2,1,"3",0
2,1,"4",0
2,2,"1",0
2,2,"2",0
2,2,"3",4612.13410630673
2,2,"4",0
2,3,"1",0
2,3,"2",0
2,3,"3",0
2,3,"4",0
2,4,"1",0
2,4,"2",0
2,4,"3",1033.41354626318
2,4,"4",0
3,1,"1",332.961227442815
3,1,"2",4776.37590903772
3,1,"3",39014.2782808602
3,1,"4",5895.64118280435
3,2,"1",247.181696048057
3,2,"2",63727.4985353233
3,2,"3",56213.8809499849
3,2,"4",9384.12725942172
3,3,"1",217.899290840896
3,3,"2",56790.4816026821
3,3,"3",43896.5837517693
3,3,"4",0
3,4,"1",555.539810563291
3,4,"2",51120.6896830078
3,4,"3",18714.9620232278
3,4,"4",169.821059716626
4,1,"1",41724.7989078913
4,1,"2",120112.443879616
4,1,"3",75360.5905555913
4,1,"4",261.846136505539
4,2,"1",142621.139521866
4,2,"2",112446.455474238
4,2,"3",21076.366630198
4,2,"4",995.167085207847
4,3,"1",41835.5226856494
4,3,"2",65100.8011860584
4,3,"3",7487.11721938302
4,3,"4",0
4,4,"1",111168.70734864
4,4,"2",32485.0375327525
4,4,"3",19052.0007003306
4,4,"4",179.424288645998
5,1,"1",172864.779701176
5,1,"2",129643.305500178
5,1,"3",46046.550042732
5,1,"4",451.64909396491
5,2,"1",118410.749732032
5,2,"2",143723.224165174
5,2,"3",35902.0313708012
5,2,"4",16605.8616697587
5,3,"1",134745.807264127
5,3,"2",40369.333093821
5,3,"3",29789.3100244524
5,3,"4",16.7613902120183
5,4,"1",103031.074535084
5,4,"2",56177.1345095739
5,4,"3",27299.3547599436
5,4,"4",256.794734011608
6,1,"1",42381.0844353519
6,1,"2",137375.219021222
6,1,"3",46974.0715868312
6,1,"4",497.022179162024
6,2,"1",24074.5189050241
6,2,"2",92315.0252206955
6,2,"3",35674.2158953586
6,2,"4",32200.6837006115
6,3,"1",20677.0166737433
6,3,"2",31036.916934483
6,3,"3",20285.0179595852
6,3,"4",2145.60753037374
6,4,"1",24998.2053368771
6,4,"2",28025.5474001445
6,4,"3",31472.8477953872
6,4,"4",282.592570208273
7,1,"1",43318.0871008996
7,1,"2",100560.079797693
7,1,"3",30099.3011213669
7,1,"4",2232.17542063741
7,2,"1",54937.2168616506
7,2,"2",71710.9727549636
7,2,"3",21342.5339875259
7,2,"4",35517.0518081025
7,3,"1",12421.5953778619
7,3,"2",13146.5613800932
7,3,"3",9401.74688173479
7,3,"4",1163.00787088218
7,4,"1",44685.5633918203
7,4,"2",17609.1429382939
7,4,"3",21335.3385851847
7,4,"4",607.532836249849
8,1,"1",36815.126529444
8,1,"2",100673.168114076
8,1,"3",19964.5249893952
8,1,"4",3705.60723045003
8,2,"1",79343.3378705728
8,2,"2",74698.3831517123
8,2,"3",42500.7479695512
8,2,"4",5420.29141360231
8,3,"1",47122.5410194919
8,3,"2",19687.5545362198
8,3,"3",14273.3317213947
8,3,"4",43.7656591804845
8,4,"1",44132.4450350824
8,4,"2",19021.4488842148
8,4,"3",13534.9490719264
8,4,"4",670.516625765132
9,1,"1",99757.8535238373
9,1,"2",86312.1064333191
9,1,"3",26125.9689996562
9,1,"4",1046.00183508867
9,2,"1",136662.896191839
9,2,"2",91812.6843558062
9,2,"3",54561.8179606104
9,2,"4",3949.51704730554
9,3,"1",65343.5075309121
9,3,"2",12003.0806385516
9,3,"3",21287.0815817565
9,3,"4",38.8187315211807
9,4,"1",98387.1941149151
9,4,"2",46806.2275648573
9,4,"3",25951.011228847
9,4,"4",594.726673000073
10,1,"1",98094.7262812639
10,1,"2",64193.4222842129
10,1,"3",12745.6366818241
10,1,"4",1739.69407140825
10,2,"1",98391.575467748
10,2,"2",25852.9964416567
10,2,"3",11337.8539923301
10,2,"4",6864.92499914378
10,3,"1",96461.1942774012
10,3,"2",25090.0309575403
10,3,"3",17204.4662268163
10,3,"4",36.1541369123263
10,4,"1",107588.124391779
10,4,"2",118971.726060297
10,4,"3",21904.4928605343
10,4,"4",553.903456359076
11,1,"1",153053.138037168
11,1,"2",116804.183411358
11,1,"3",57244.485387111
11,1,"4",1652.7775414267
11,2,"1",145428.659756115
11,2,"2",51110.755210979
11,2,"3",31999.4517822652
11,2,"4",4659.90840360295
11,3,"1",108396.369466281
11,3,"2",27119.2465009534
11,3,"3",86515.0139188096
11,3,"4",61.3371081126654
11,4,"1",170657.528722785
11,4,"2",60902.5359190035
11,4,"3",37193.7791907254
11,4,"4",939.721954061981
12,1,"1",116503.344368005
12,1,"2",32906.0164129192
12,1,"3",24668.4518853257
12,1,"4",1454.37199699576
12,2,"1",131718.162869563
12,2,"2",12767.6632203942
12,2,"3",9227.36693823264
12,2,"4",5602.39589182017
12,3,"1",46859.124452559
12,3,"2",5202.30183768757
12,3,"3",21957.4830022387
12,3,"4",47.1340367011882
12,4,"1",100716.789799459
12,4,"2",25336.0045973785
12,4,"3",25280.1602872499
12,4,"4",722.122226406753
13,1,"1",91331.115460251
13,1,"2",24139.6341787911
13,1,"3",18846.7893416205
13,1,"4",1356.78487748785
13,2,"1",105355.807548072
13,2,"2",32616.3538335198
13,2,"3",14390.0667561416
13,2,"4",1341.06619552889
13,3,"1",69539.2574237048
13,3,"2",10478.4388009366
13,3,"3",46180.8867812765
13,3,"4",44.7454071761226
13,4,"1",60536.430848441
13,4,"2",26959.5652392598
13,4,"3",15690.2662498484
13,4,"4",685.526963377694
14,1,"1",119088.104352975
14,1,"2",50717.0387486986
14,1,"3",12052.956765719
14,1,"4",2286.6833697476
14,2,"1",71987.8836644324
14,2,"2",74875.6256440042
14,2,"3",28517.8557931602
14,2,"4",3343.94223460541
14,3,"1",125872.175304564
14,3,"2",8418.63320469798
14,3,"3",20028.111956304
14,3,"4",28.7730839286495
14,4,"1",78522.3707613777
14,4,"2",93238.8206261739
14,4,"3",18865.9566378293
14,4,"4",440.821217135874
15,1,"1",235931.494265747
15,1,"2",92448.8560913533
15,1,"3",18921.2084760328
15,1,"4",1411.79865552409
15,2,"1",202969.999975382
15,2,"2",73714.0266010604
15,2,"3",7265.88788851919
15,2,"4",1321.14777997693
15,3,"1",145650.864302382
15,3,"2",38119.3441816859
15,3,"3",23791.0061160321
15,3,"4",39.7390855246528
15,4,"1",211994.839752939
15,4,"2",59035.7861574598
15,4,"3",20829.6544933842
15,4,"4",608.827058381512
16,1,"1",173859.685239125
16,1,"2",85310.4541306254
16,1,"3",30140.2844602108
16,1,"4",4046.84085119699
16,2,"1",156769.483406907
16,2,"2",58963.5278028233
16,2,"3",36751.3844339143
16,2,"4",5542.02320108614
16,3,"1",55617.7882093474
16,3,"2",29237.4409697791
16,3,"3",15054.1403210616
16,3,"4",0
16,4,"1",132907.264725701
16,4,"2",52885.3839792531
16,4,"3",12179.234034103
16,4,"4",0
17,1,"1",752538.903260993
17,1,"2",70098.481797075
17,1,"3",45646.2615224568
17,1,"4",590.669439124369
17,2,"1",677521.842609621
17,2,"2",75136.5772827805
17,2,"3",21414.3300865636
17,2,"4",234.799038535766
17,3,"1",368617.383683333
17,3,"2",15261.3962337328
17,3,"3",20420.6237690695
17,3,"4",0
17,4,"1",354384.264177802
17,4,"2",45913.868356268
17,4,"3",12297.3159095014
17,4,"4",0
18,1,"1",391374.519723334
18,1,"2",117687.807037425
18,1,"3",32326.9276661361
18,1,"4",16045.6010440004
18,2,"1",171815.090147881
18,2,"2",81310.2435436037
18,2,"3",40080.1773116872
18,2,"4",26353.2775236603
18,3,"1",239656.920689334
18,3,"2",31891.02807204
18,3,"3",22726.8327383273
18,3,"4",0
18,4,"1",278225.223897723
18,4,"2",84069.0387013034
18,4,"3",27401.7975564987
18,4,"4",8744.25044202454
19,1,"1",106008.516552446
19,1,"2",72587.0132162706
19,1,"3",21430.1077444451
19,1,"4",10755.3037492591
19,2,"1",87878.0772490938
19,2,"2",41009.2272544706
19,2,"3",17938.2439230801
19,2,"4",334.914435707428
19,3,"1",35430.3306271218
19,3,"2",40086.219396731
19,3,"3",169223.478336596
19,3,"4",0
19,4,"1",84015.8844182993
19,4,"2",66091.4620041403
19,4,"3",43264.3049611847
19,4,"4",7894.55801355613
20,1,"1",124271.339598907
20,1,"2",70907.4802785087
20,1,"3",23181.4526114475
20,1,"4",11693.0623606036
20,2,"1",179511.498103206
20,2,"2",54426.6117445393
20,2,"3",65492.2762732285
20,2,"4",11703.4347448833
20,3,"1",276176.660545875
20,3,"2",21843.9063407958
20,3,"3",8930.24403290332
20,3,"4",1068.21841494468
20,4,"1",185978.276272153
20,4,"2",30236.1717460365
20,4,"3",7057.73892313392
20,4,"4",1692.03984220799
21,1,"1",172463.280770856
21,1,"2",53560.6549762158
21,1,"3",18302.8542286373
21,1,"4",7311.14733026488
21,2,"1",122948.429603962
21,2,"2",39359.356119762
21,2,"3",31970.720850725
21,2,"4",1005.42902083932
21,3,"1",125659.956713476
21,3,"2",39970.8078697974
21,3,"3",29910.3881060783
21,3,"4",1219.22808534648
21,4,"1",137067.777338457
21,4,"2",41647.1437097359
21,4,"3",11978.6354929005
21,4,"4",5629.99544932718
22,1,"1",79654.6616987839
22,1,"2",52431.672752372
22,1,"3",29068.6285919207
22,1,"4",3540.17870656634
22,2,"1",57885.3896481553
22,2,"2",28887.2686104112
22,2,"3",22731.4478071333
22,2,"4",885.556531394267
22,3,"1",50157.350806706
22,3,"2",14546.4818565491
22,3,"3",11820.5820475498
22,3,"4",0
22,4,"1",101313.919545847
22,4,"2",15513.9950090479
22,4,"3",23220.5700078397
22,4,"4",27.4039851283261
23,1,"1",87972.7582671579
23,1,"2",16070.7203561377
23,1,"3",23120.2853850587
23,1,"4",1179.75482810834
23,2,"1",75572.4556452151
23,2,"2",11329.5259650387
23,2,"3",13471.941674233
23,2,"4",3284.81245161445
23,3,"1",65752.6788779315
23,3,"2",17670.9331628704
23,3,"3",18756.9353747937
23,3,"4",1354.3311818648
23,4,"1",134643.070850587
23,4,"2",24615.2401152428
23,4,"3",26443.2553978685
23,4,"4",0
24,1,"1",56122.943334288
24,1,"2",53232.7952063254
24,1,"3",37813.3370830784
24,1,"4",3754.90633363278
24,2,"1",62351.4712102981
24,2,"2",33171.0987994262
24,2,"3",30836.1718385975
24,2,"4",3532.09034103453
24,3,"1",59688.4443411394
24,3,"2",54806.425003138
24,3,"3",56966.9821538723
24,3,"4",40.1048072104495
24,4,"1",179970.708646765
24,4,"2",53887.3903856597
24,4,"3",12639.8645557512
24,4,"4",28.3092756779644
25,1,"1",48345.3215327409
25,1,"2",45854.5032616537
25,1,"3",27542.7266674962
25,1,"4",6945.69655240207
25,2,"1",66265.897071603
25,2,"2",28878.2617025934
25,2,"3",48082.7000263884
25,2,"4",2243.01482602318
25,3,"1",51386.2121847237
25,3,"2",46923.9502321713
25,3,"3",47881.9529935734
25,3,"4",0
25,4,"1",77658.3593086848
25,4,"2",36559.4448921504
25,4,"3",41688.8651854852
25,4,"4",0
26,1,"1",89401.5715564246
26,1,"2",37552.3439193018
26,1,"3",53530.1303753996
26,1,"4",10623.5493080297
26,2,"1",142345.063593162
26,2,"2",19708.763256584
26,2,"3",83142.347388344
26,2,"4",16573.7179990377
26,3,"1",196662.109399903
26,3,"2",37834.5933296368
26,3,"3",58346.9207060386
26,3,"4",0
26,4,"1",214902.012387196
26,4,"2",80876.0922025908
26,4,"3",22571.0559572691
26,4,"4",0
27,1,"1",202306.676567543
27,1,"2",31533.3477603891
27,1,"3",33529.7924531185
27,1,"4",11922.4019737567
27,2,"1",94122.7951269565
27,2,"2",27632.2975393598
27,2,"3",44541.9885135498
27,2,"4",3861.05621272503
27,3,"1",36257.9793018376
27,3,"2",31588.2211001912
27,3,"3",83709.1902130657
27,3,"4",0
27,4,"1",195894.603137716
27,4,"2",35985.6688033443
27,4,"3",21688.316958702
27,4,"4",13.4268450622478
28,1,"1",117584.401353402
28,1,"2",29572.052151874
28,1,"3",27317.4524975381
28,1,"4",7040.16715919066
28,2,"1",98057.4150075714
28,2,"2",29420.5605835254
28,2,"3",43773.1893799632
28,2,"4",1047.09379371606
28,3,"1",50729.2211335477
28,3,"2",61996.7172156956
28,3,"3",95862.5998376574
28,3,"4",0
28,4,"1",77158.6722194224
28,4,"2",24007.3924982086
28,4,"3",44792.514649905
28,4,"4",10.3563905704898
29,1,"1",70813.8914871377
29,1,"2",23156.099705132
29,1,"3",29082.1809510919
29,1,"4",29293.2656939611
29,2,"1",40100.2690709527
29,2,"2",42512.2151513922
29,2,"3",57904.2880507951
29,2,"4",7269.19872394615
29,3,"1",17821.1762363731
29,3,"2",45767.8334374671
29,3,"3",76573.5856434509
29,3,"4",0
29,4,"1",65839.2484104866
29,4,"2",28624.8994374098
29,4,"3",23216.5985913581
29,4,"4",0
30,1,"1",73756.4100582938
30,1,"2",17954.531739274
30,1,"3",16639.2132095821
30,1,"4",35139.434576173
30,2,"1",91529.188174428
30,2,"2",25881.9207678432
30,2,"3",26712.3049605684
30,2,"4",7672.91892593726
30,3,"1",57476.3403113557
30,3,"2",61294.4835345831
30,3,"3",41375.2242629691
30,3,"4",0
30,4,"1",111626.383220935
30,4,"2",36858.0321034085
30,4,"3",29780.6857973293
30,4,"4",0
31,1,"1",130181.051968727
31,1,"2",35983.1136182807
31,1,"3",13237.8948416939
31,1,"4",22396.531346867
31,2,"1",201949.059586504
31,2,"2",31287.0262154024
31,2,"3",23640.0308009225
31,2,"4",6717.32417762762
31,3,"1",119031.45678167
31,3,"2",55629.7405239953
31,3,"3",28779.2252561388
31,3,"4",0
31,4,"1",252547.564858561
31,4,"2",60511.1381793551
31,4,"3",28061.5776741118
31,4,"4",1008.84748377548
32,1,"1",97850.8620266693
32,1,"2",59030.2180539022
32,1,"3",21082.7576607842
32,1,"4",32115.5054151438
32,2,"1",150200.061344965
32,2,"2",23116.0722806089
32,2,"3",25407.1703952319
32,2,"4",654.646887328288
32,3,"1",92211.7517941054
32,3,"2",55200.0239399214
32,3,"3",39172.5615617325
32,3,"4",0
32,4,"1",119328.773521114
32,4,"2",45637.4901163105
32,4,"3",38026.9577484378
32,4,"4",108.929154249574
33,1,"1",108725.346617656
33,1,"2",31817.2447444692
33,1,"3",23909.8279979227
33,1,"4",26724.0002027835
33,2,"1",103728.699343245
