"Key","Value","Var_explained","Rank"
"Lon","32.5",0.00874382007495854,1
"Lat","-32.5",0.00779838608177395,2
"Lon","72.5",0.00636643844962624,3
"Lon","52.5",0.00616453671144341,4
"Lat","-2.5",0.00572879035528261,5
"Lat","-12.5",0.00327612482513202,6
"CQrt","124;3",0.00160810480292068,7
"Qrt","1",0.00226615894825924,8
"Lat","-22.5",0.00202824193908745,9
"CQrt","134;2",0.00262952609728139,10
"Lat","7.5",0.0019309356575395,11
"CQrt","14;23",0.0019643990905569,12
"Qrt","2",0.00136857289982108,13
"Qrt","3",0.00130448581869277,14
