"Cell","year","quarter","n","0","10","15","20","25","30","35","40","45","50","55","60","65","70","75","80","85","90","95","100","105","110","115","120","125","130","135","140","145","150","155","160","165","170","175","180","185","190","195"
1,32,3,2,0,0,0,0,0,0,0,0,0.04,0.04,0.12,0.16,0,0.08,0.12,0.04,0,0.04,0.04,0.08,0.04,0,0,0,0,0.04,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0
1,33,1,2,0,0,0,0,0,0,0.04,0,0,0.04,0,0,0.08,0,0.04,0.08,0.04,0.08,0,0.08,0.08,0.12,0,0.04,0.04,0.04,0,0,0.12,0,0.04,0,0,0.04,0,0,0,0,0
1,33,2,6,0,0,0,0,0,0,0.008,0,0.032,0.056,0.04,0.032,0.064,0.064,0.048,0.048,0.104,0.072,0.096,0.032,0.056,0.048,0.032,0.032,0.032,0.024,0.024,0.008,0.04,0.008,0,0,0,0,0,0,0,0,0
1,33,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.12,0.12,0.08,0,0.08,0.12,0.08,0.04,0.04,0.08,0,0.08,0,0.04,0,0,0,0,0,0,0
1,33,4,2,0,0,0,0,0,0,0,0.04,0.08,0.08,0.12,0.16,0.08,0.08,0.08,0.04,0,0,0,0,0,0,0.04,0.04,0,0.04,0,0,0,0.08,0.04,0,0,0,0,0,0,0,0
1,34,1,6,0,0,0,0,0,0.01,0.02,0.02,0.0531578947368421,0.0563157894736842,0.0994736842105263,0.125789473684211,0.0563157894736842,0.0531578947368421,0.08,0.03,0.0431578947368421,0.04,0.0494736842105263,0.01,0.0531578947368421,0.04,0.04,0.04,0.03,0.02,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0
1,34,2,6,0,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0.04,0.0733333333333333,0.06,0.0933333333333333,0.0866666666666667,0.0666666666666667,0.0666666666666667,0.0466666666666667,0.0466666666666667,0.04,0.0133333333333333,0.04,0.0466666666666667,0.0666666666666667,0.0533333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.02,0.02,0.00666666666666667,0,0,0,0,0,0,0,0,0,0
1,35,1,6,0,0,0,0,0,0,0,0.024,0.032,0.04,0.08,0.08,0.112,0.056,0.056,0.048,0.016,0.056,0,0.032,0.088,0.016,0.016,0.04,0.056,0.072,0.024,0.032,0.024,0,0,0,0,0,0,0,0,0,0
1,35,2,6,0,0,0,0,0,0,0,0.00694444444444444,0.0133333333333333,0.0619444444444444,0.047524154589372,0.0272463768115942,0.067524154589372,0.137342995169082,0.068683574879227,0.0678019323671498,0.0823188405797101,0.0402777777777778,0.0266666666666667,0.0266666666666667,0.0344685990338164,0.0608574879227053,0.0341908212560386,0.067524154589372,0.0408574879227053,0.0133333333333333,0.0205797101449275,0.0339130434782609,0.00666666666666667,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,0,0
1,35,3,2,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0.125,0.125,0.0416666666666667,0,0.125,0.0833333333333333,0.125,0.0416666666666667,0,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0416666666666667,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0
1,36,1,6,0,0,0,0,0,0,0,0,0.0404166666666667,0.06,0.08,0.0804166666666667,0.0708333333333333,0.101666666666667,0.0404166666666667,0.0304166666666667,0.0408333333333333,0.05,0.0504166666666667,0.0504166666666667,0.03125,0.04125,0.0704166666666667,0.0604166666666667,0.03,0.01,0.0104166666666667,0.0204166666666667,0.01,0,0,0,0.01,0,0.01,0,0,0,0
1,36,2,5,0,0,0,0,0,0,0.008,0.008,0.024,0.088,0.104,0.128,0.056,0.056,0.04,0.032,0.04,0.04,0.024,0.008,0.056,0.048,0.064,0.024,0.024,0.04,0.016,0.016,0.032,0.016,0,0.008,0,0,0,0,0,0,0
1,37,1,2,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.125,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0416666666666667,0,0.0833333333333333,0.0833333333333333,0,0.0416666666666667,0,0.0833333333333333,0,0,0,0.125,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0
1,37,2,6,0,0,0.00666666666666667,0,0,0,0.00666666666666667,0.0133333333333333,0.0421052631578947,0.08,0.0842105263157895,0.0905263157894737,0.0954385964912281,0.0929824561403509,0.0333333333333333,0.0421052631578947,0.0354385964912281,0.0221052631578947,0.0533333333333333,0.0375438596491228,0.0554385964912281,0.0266666666666667,0.0621052631578947,0.02,0.02,0.0133333333333333,0.02,0.02,0,0.00666666666666667,0.00666666666666667,0.00666666666666667,0,0,0.00666666666666667,0,0,0,0
1,38,2,5,0,0,0,0,0,0,0,0.008,0.032,0.048,0.08,0.064,0.04,0.056,0.072,0.056,0.056,0.024,0.048,0.048,0.048,0.08,0.072,0.056,0.04,0.024,0.008,0.008,0.008,0,0.008,0.008,0,0,0,0.008,0,0,0
1,38,4,3,0,0,0,0,0,0,0,0.02,0.04,0.04,0.1,0.08,0.04,0.06,0.06,0.06,0.02,0.04,0.06,0.04,0.02,0.06,0.04,0.12,0.04,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0
1,39,1,5,0,0,0,0,0,0,0,0.008,0.016,0.072,0.056,0.104,0.096,0.096,0.04,0.024,0.056,0.056,0.024,0.032,0.032,0.04,0.048,0.072,0.04,0.032,0.008,0.008,0.016,0,0.016,0.008,0,0,0,0,0,0,0
1,39,2,6,0,0,0,0,0,0,0,0.00666666666666667,0.0266666666666667,0.0533333333333333,0.06,0.0733333333333333,0.0733333333333333,0.06,0.0533333333333333,0.0666666666666667,0.0266666666666667,0.0533333333333333,0.06,0.0266666666666667,0.0266666666666667,0.06,0.0866666666666667,0.0266666666666667,0.0333333333333333,0.0266666666666667,0.0333333333333333,0.0266666666666667,0.0333333333333333,0.00666666666666667,0,0,0,0,0,0,0,0,0
1,39,4,3,0,0,0,0,0,0,0.02,0.02,0.06,0.12,0.04,0.14,0.12,0.08,0.04,0.02,0.04,0.08,0.04,0.06,0.02,0,0,0,0.04,0.02,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0
1,40,1,6,0,0,0,0,0,0,0.0222222222222222,0.00833333333333333,0.0272222222222222,0.101984126984127,0.0601587301587302,0.101706349206349,0.0544444444444444,0.0798015873015873,0.0569444444444444,0.0382142857142857,0.0422222222222222,0.0136111111111111,0.0305555555555556,0.0564285714285714,0.0344444444444444,0.0218253968253968,0.0275,0.0513095238095238,0.035,0.0430952380952381,0.0266666666666667,0.0136111111111111,0.0162698412698413,0.00793650793650794,0.0284920634920635,0,0,0,0,0,0,0,0
